ID_BVOTE,SCRUTIN,ANNEE,TOUR,DATE,NUM_CIRC,NUM_QUARTIER,NUM_ARROND,NUM_BUREAU,NB_PROCU,NB_INSCR,NB_EMARG,NB_VOTANT,NB_BLANC,NB_NUL,NB_EXPRIM,Mr RUPIN Pacôme    ,Mr VERON Aurélien,Mr WEIL Ariel
3-1,Municipales,2020,2,06/28/2020,5,10,3,1,24,1411,578,578,8,3,567,73,147,347
3-2,Municipales,2020,2,06/28/2020,5,10,3,2,31,1547,600,600,7,6,587,67,124,396
3-3,Municipales,2020,2,06/28/2020,5,10,3,3,30,1312,540,540,12,4,524,72,151,301
3-4,Municipales,2020,2,06/28/2020,5,10,3,4,33,1416,578,578,8,3,567,88,150,329
3-5,Municipales,2020,2,06/28/2020,5,11,3,5,34,1266,519,519,4,3,512,78,168,266
3-6,Municipales,2020,2,06/28/2020,5,11,3,6,39,1396,574,574,9,4,561,76,197,288
3-7,Municipales,2020,2,06/28/2020,5,11,3,7,43,1460,604,604,9,3,592,83,213,296
3-8,Municipales,2020,2,06/28/2020,5,11,3,8,56,1323,587,587,9,9,569,91,212,266
3-9,Municipales,2020,2,06/28/2020,5,12,3,9,36,1649,707,707,8,6,693,100,195,398
3-10,Municipales,2020,2,06/28/2020,5,12,3,10,43,1682,655,655,10,2,643,68,169,406
3-11,Municipales,2020,2,06/28/2020,5,12,3,11,47,1571,640,640,11,4,625,108,173,344
3-12,Municipales,2020,2,06/28/2020,5,9,3,12,27,1450,553,553,7,3,543,68,122,353
3-13,Municipales,2020,2,06/28/2020,5,9,3,13,29,1543,548,548,6,3,539,59,100,380
3-14,Municipales,2020,2,06/28/2020,5,9,3,14,67,1676,705,705,4,3,698,105,157,436
3-15,Municipales,2020,2,06/28/2020,5,9,3,15,45,1479,605,605,9,4,592,73,178,341
