ID_BVOTE,SCRUTIN,ANNEE,TOUR,DATE,NUM_CIRC,NUM_QUARTIER,NUM_ARROND,NUM_BUREAU,NB_PROCU,NB_INSCR,NB_EMARG,NB_VOTANT,NB_BLANC,NB_NUL,NB_EXPRIM,Mme LEMARDELEY Marie-Christine,Mme BERTHOUT Florence
5-1,Municipales,2020,2,06/28/2020,2,20,5,1,100,1443,636,636,9,7,620,297,323
5-2,Municipales,2020,2,06/28/2020,2,20,5,2,64,1612,715,715,5,11,699,311,388
5-3,Municipales,2020,2,06/28/2020,2,20,5,3,40,1605,674,673,7,7,659,315,344
5-4,Municipales,2020,2,06/28/2020,2,20,5,4,67,1443,629,629,12,5,612,245,367
5-5,Municipales,2020,2,06/28/2020,2,19,5,5,84,1580,729,729,14,5,710,319,391
5-6,Municipales,2020,2,06/28/2020,2,19,5,6,61,1345,639,639,15,3,621,290,331
5-7,Municipales,2020,2,06/28/2020,2,19,5,7,73,1562,734,734,13,7,714,305,409
5-8,Municipales,2020,2,06/28/2020,2,19,5,8,64,1673,793,793,10,6,777,317,460
5-9,Municipales,2020,2,06/28/2020,2,19,5,9,50,1587,787,787,15,2,770,383,387
5-10,Municipales,2020,2,06/28/2020,2,19,5,10,109,1529,713,713,19,7,687,337,350
5-11,Municipales,2020,2,06/28/2020,2,19,5,11,78,1560,673,673,11,5,657,328,329
5-12,Municipales,2020,2,06/28/2020,2,19,5,12,53,1516,668,668,15,9,644,335,309
5-13,Municipales,2020,2,06/28/2020,2,18,5,13,44,1278,542,542,7,8,527,253,274
5-14,Municipales,2020,2,06/28/2020,2,18,5,14,64,1355,627,627,4,7,616,321,295
5-15,Municipales,2020,2,06/28/2020,2,18,5,15,87,1473,638,639,9,14,616,315,301
5-16,Municipales,2020,2,06/28/2020,2,18,5,16,61,1497,664,664,14,5,645,366,279
5-17,Municipales,2020,2,06/28/2020,2,18,5,17,55,1463,622,622,18,6,598,328,270
5-18,Municipales,2020,2,06/28/2020,2,18,5,18,76,1444,646,647,20,16,611,291,320
5-19,Municipales,2020,2,06/28/2020,2,18,5,19,59,1382,651,651,16,11,624,263,361
5-20,Municipales,2020,2,06/28/2020,2,18,5,20,42,1495,664,666,13,7,646,286,360
5-21,Municipales,2020,2,06/28/2020,2,17,5,21,68,1524,677,677,9,4,664,365,299
5-22,Municipales,2020,2,06/28/2020,2,17,5,22,66,1419,628,628,16,8,604,264,340
5-23,Municipales,2020,2,06/28/2020,2,17,5,23,121,1481,643,643,22,8,613,256,357
5-24,Municipales,2020,2,06/28/2020,2,17,5,24,67,1464,663,663,8,4,651,363,288
5-25,Municipales,2020,2,06/28/2020,2,17,5,25,86,1627,716,716,7,5,704,379,325
