ID_BVOTE,SCRUTIN,ANNEE,TOUR,DATE,NUM_CIRC,NUM_QUARTIER,NUM_ARROND,NUM_BUREAU,NB_PROCU,NB_INSCR,NB_EMARG,NB_VOTANT,NB_BLANC,NB_NUL,NB_EXPRIM,Mme HERVIEU Céline    ,Mr GANTZER Gaspard    ,Mr LECOQ Jean-Pierre    
6-1,Municipales,2020,2,06/28/2020,2,22,6,1,29,1320,462,462,9,0,453,155,61,237
6-2,Municipales,2020,2,06/28/2020,2,22,6,2,79,1279,501,501,2,2,497,153,74,270
6-3,Municipales,2020,2,06/28/2020,2,22,6,3,57,1428,568,568,13,6,549,206,71,272
6-4,Municipales,2020,2,06/28/2020,2,21,6,4,22,1129,413,414,6,2,406,149,68,189
6-5,Municipales,2020,2,06/28/2020,2,21,6,5,41,1194,424,424,6,1,417,167,57,193
6-6,Municipales,2020,2,06/28/2020,2,21,6,6,29,1130,442,442,7,1,434,168,50,216
6-7,Municipales,2020,2,06/28/2020,2,24,6,7,38,1012,378,378,3,5,370,113,51,206
6-8,Municipales,2020,2,06/28/2020,2,24,6,8,29,1018,379,379,7,5,367,109,75,183
6-9,Municipales,2020,2,06/28/2020,2,24,6,9,36,899,361,359,2,1,356,112,62,182
6-10,Municipales,2020,2,06/28/2020,2,22,6,10,46,1121,481,481,8,6,467,138,102,227
6-11,Municipales,2020,2,06/28/2020,11,23,6,11,28,1263,463,463,1,4,458,142,65,251
6-12,Municipales,2020,2,06/28/2020,11,23,6,12,40,1127,466,466,1,3,462,117,74,271
6-13,Municipales,2020,2,06/28/2020,11,23,6,13,85,1338,564,564,3,7,554,163,82,309
6-14,Municipales,2020,2,06/28/2020,11,23,6,14,46,1234,476,476,7,5,464,145,48,271
6-15,Municipales,2020,2,06/28/2020,11,23,6,15,49,1223,462,462,5,2,455,144,60,251
6-16,Municipales,2020,2,06/28/2020,11,23,6,16,51,1496,546,546,7,7,532,170,81,281
6-17,Municipales,2020,2,06/28/2020,11,23,6,17,31,1502,633,633,7,2,624,227,103,294
6-18,Municipales,2020,2,06/28/2020,11,23,6,18,29,1035,429,429,8,1,420,144,51,225
6-19,Municipales,2020,2,06/28/2020,11,23,6,19,27,1063,433,433,2,1,430,122,72,236
6-20,Municipales,2020,2,06/28/2020,11,23,6,20,33,1185,482,482,5,3,474,124,81,269
6-21,Municipales,2020,2,06/28/2020,11,23,6,21,30,1133,460,459,10,3,446,199,34,213
6-22,Municipales,2020,2,06/28/2020,11,23,6,22,39,1266,536,536,6,7,523,174,86,263
