ID_BVOTE,SCRUTIN,ANNEE,TOUR,DATE,NUM_CIRC,NUM_QUARTIER,NUM_ARROND,NUM_BUREAU,NB_PROCU,NB_INSCR,NB_EMARG,NB_VOTANT,NB_BLANC,NB_NUL,NB_EXPRIM,Mme D'HAUTESERRE Jeanne,Mme LECUYER Catherine   ,Mme ATHENAIS Michel,Mme SEGOND Sophie    
8-1,Municipales,2020,2,06/28/2020,1,32,8,1,50,1512,554,554,5,1,548,275,98,84,91
8-2,Municipales,2020,2,06/28/2020,1,32,8,2,45,1388,499,499,2,2,495,220,106,83,86
8-3,Municipales,2020,2,06/28/2020,1,32,8,3,48,1394,583,583,5,0,578,224,153,86,115
8-4,Municipales,2020,2,06/28/2020,1,32,8,4,40,1401,517,518,4,2,512,255,91,56,110
8-5,Municipales,2020,2,06/28/2020,1,32,8,5,63,1629,625,625,3,2,620,283,105,120,112
8-6,Municipales,2020,2,06/28/2020,1,32,8,6,41,1372,530,530,6,4,520,196,76,130,118
8-7,Municipales,2020,2,06/28/2020,1,32,8,7,36,1488,580,580,7,1,572,194,113,144,121
8-8,Municipales,2020,2,06/28/2020,1,32,8,8,42,1450,554,555,3,3,549,179,106,175,89
8-9,Municipales,2020,2,06/28/2020,1,32,8,9,52,1641,676,677,9,5,663,296,127,128,112
8-10,Municipales,2020,2,06/28/2020,1,31,8,10,27,1039,340,340,5,0,335,188,39,67,41
8-11,Municipales,2020,2,06/28/2020,1,31,8,11,28,1153,407,407,4,1,402,178,50,97,77
8-12,Municipales,2020,2,06/28/2020,1,31,8,12,25,1311,449,449,3,4,442,188,84,90,80
8-13,Municipales,2020,2,06/28/2020,1,30,8,13,31,1488,532,532,2,2,528,255,95,110,68
8-14,Municipales,2020,2,06/28/2020,1,30,8,14,22,1493,518,518,3,5,510,274,71,96,69
8-15,Municipales,2020,2,06/28/2020,1,30,8,15,45,1578,520,520,3,6,511,290,58,80,83
8-16,Municipales,2020,2,06/28/2020,1,30,8,16,31,1539,564,564,2,2,560,297,79,63,121
8-17,Municipales,2020,2,06/28/2020,1,29,8,17,19,901,234,234,3,3,228,142,27,36,23
8-18,Municipales,2020,2,06/28/2020,1,29,8,18,19,926,252,252,3,0,249,154,34,34,27
