ID_BVOTE,SCRUTIN,ANNEE,TOUR,DATE,NUM_CIRC,NUM_QUARTIER,NUM_ARROND,NUM_BUREAU,NB_PROCU,NB_INSCR,NB_EMARG,NB_VOTANT,NB_BLANC,NB_NUL,NB_EXPRIM,Mr MAURIN Pierre,Mme BURKLI Delphine,Mr NGATCHA Arnaud
9-1,Municipales,2020,2,06/28/2020,1,35,9,1,35,1362,556,556,5,2,549,86,237,226
9-2,Municipales,2020,2,06/28/2020,1,35,9,2,59,1438,576,576,7,2,567,87,239,241
9-3,Municipales,2020,2,06/28/2020,1,35,9,3,58,1452,569,569,6,5,558,80,255,223
9-4,Municipales,2020,2,06/28/2020,1,35,9,4,41,1449,590,590,5,3,582,85,267,230
9-5,Municipales,2020,2,06/28/2020,1,35,9,5,45,1502,625,625,3,5,617,123,277,217
9-6,Municipales,2020,2,06/28/2020,1,34,9,6,48,1339,504,504,8,2,494,101,226,167
9-7,Municipales,2020,2,06/28/2020,1,34,9,7,31,1344,515,515,3,0,512,152,188,172
9-8,Municipales,2020,2,06/28/2020,1,33,9,8,54,1419,605,605,6,2,597,107,322,168
9-9,Municipales,2020,2,06/28/2020,1,33,9,9,26,1451,670,670,7,1,662,114,374,174
9-10,Municipales,2020,2,06/28/2020,1,33,9,10,56,1403,603,603,5,4,594,104,273,217
9-11,Municipales,2020,2,06/28/2020,1,33,9,11,43,1459,612,612,4,6,602,76,277,249
9-12,Municipales,2020,2,06/28/2020,1,33,9,12,30,1441,589,589,7,5,577,87,240,250
9-13,Municipales,2020,2,06/28/2020,1,33,9,13,39,1600,628,628,6,2,620,89,233,298
9-14,Municipales,2020,2,06/28/2020,1,33,9,14,47,1605,701,701,9,2,690,109,319,262
9-15,Municipales,2020,2,06/28/2020,1,33,9,15,43,1480,669,669,8,2,659,128,284,247
9-16,Municipales,2020,2,06/28/2020,1,33,9,16,53,1456,624,624,3,3,618,98,296,224
9-17,Municipales,2020,2,06/28/2020,1,33,9,17,47,1542,673,673,7,5,661,168,286,207
9-18,Municipales,2020,2,06/28/2020,1,36,9,18,58,1535,620,620,12,3,605,87,280,238
9-19,Municipales,2020,2,06/28/2020,1,36,9,19,27,1410,562,563,8,1,554,89,209,256
9-20,Municipales,2020,2,06/28/2020,1,36,9,20,53,1469,650,650,6,2,642,110,268,264
9-21,Municipales,2020,2,06/28/2020,1,36,9,21,45,1547,654,654,6,3,645,105,286,254
9-22,Municipales,2020,2,06/28/2020,1,36,9,22,43,1424,625,625,6,4,615,105,268,242
9-23,Municipales,2020,2,06/28/2020,1,36,9,23,35,1375,562,562,6,4,552,87,217,248
9-24,Municipales,2020,2,06/28/2020,18,36,9,24,110,1444,626,626,3,2,621,76,321,224
9-25,Municipales,2020,2,06/28/2020,18,36,9,25,39,1593,624,624,3,1,620,90,222,308
9-26,Municipales,2020,2,06/28/2020,18,36,9,26,42,1517,612,612,6,3,603,102,230,271
9-27,Municipales,2020,2,06/28/2020,18,36,9,27,36,1604,674,674,5,6,663,96,216,351
