ID_BVOTE,SCRUTIN,ANNEE,TOUR,DATE,NUM_CIRC,NUM_QUARTIER,NUM_ARROND,NUM_BUREAU,NB_PROCU,NB_INSCR,NB_EMARG,NB_VOTANT,NB_BLANC,NB_NUL,NB_EXPRIM,Mr FORT Bertil,Mme CORDEBARD Alexandra    ,Mr AMELLAL Karim
10-1,Municipales,2020,2,06/28/2020,5,39,10,1,51,1521,599,600,14,5,581,124,414,43
10-2,Municipales,2020,2,06/28/2020,5,39,10,2,15,1679,649,649,13,5,631,121,436,74
10-3,Municipales,2020,2,06/28/2020,5,39,10,3,50,1548,639,639,19,7,613,130,426,57
10-4,Municipales,2020,2,06/28/2020,5,39,10,4,34,1380,534,534,16,2,516,96,371,49
10-5,Municipales,2020,2,06/28/2020,5,39,10,5,31,1334,511,511,10,2,499,104,342,53
10-6,Municipales,2020,2,06/28/2020,5,39,10,6,35,1431,565,566,6,4,556,128,377,51
10-7,Municipales,2020,2,06/28/2020,5,39,10,7,36,1372,528,528,7,5,516,94,363,59
10-8,Municipales,2020,2,06/28/2020,5,39,10,8,58,1597,634,634,13,4,617,103,427,87
10-9,Municipales,2020,2,06/28/2020,5,39,10,9,48,1619,625,625,8,6,611,155,365,91
10-10,Municipales,2020,2,06/28/2020,5,39,10,10,39,1392,584,584,9,9,566,99,415,52
10-11,Municipales,2020,2,06/28/2020,5,40,10,11,44,1563,608,608,9,8,591,100,427,64
10-12,Municipales,2020,2,06/28/2020,5,40,10,12,32,1560,566,566,7,6,553,63,459,31
10-13,Municipales,2020,2,06/28/2020,5,40,10,13,18,1616,523,523,12,4,507,80,387,40
10-14,Municipales,2020,2,06/28/2020,5,40,10,14,25,1640,608,608,9,3,596,90,468,38
10-15,Municipales,2020,2,06/28/2020,5,40,10,15,32,1385,543,543,6,3,534,102,379,53
10-16,Municipales,2020,2,06/28/2020,5,40,10,16,22,1418,513,513,16,1,496,100,355,41
10-17,Municipales,2020,2,06/28/2020,5,40,10,17,10,1332,398,398,12,4,382,142,217,23
10-18,Municipales,2020,2,06/28/2020,5,40,10,18,15,1437,491,491,14,18,459,131,278,50
10-19,Municipales,2020,2,06/28/2020,5,40,10,19,27,1214,435,435,14,4,417,125,241,51
10-20,Municipales,2020,2,06/28/2020,5,40,10,20,41,1342,523,523,13,6,504,99,353,52
10-21,Municipales,2020,2,06/28/2020,5,40,10,21,28,1357,433,433,9,3,421,101,279,41
10-22,Municipales,2020,2,06/28/2020,5,40,10,22,84,1396,543,544,12,4,528,101,380,47
10-23,Municipales,2020,2,06/28/2020,5,37,10,23,41,1249,506,506,12,3,491,113,314,64
10-24,Municipales,2020,2,06/28/2020,5,37,10,24,53,1272,478,478,11,5,462,104,323,35
10-25,Municipales,2020,2,06/28/2020,5,37,10,25,27,1365,568,569,11,5,553,128,382,43
10-26,Municipales,2020,2,06/28/2020,5,37,10,26,37,1263,524,524,6,3,515,126,350,39
10-27,Municipales,2020,2,06/28/2020,5,37,10,27,51,1520,529,529,7,5,517,118,362,37
10-28,Municipales,2020,2,06/28/2020,5,37,10,28,32,1401,554,554,13,9,532,159,328,45
10-29,Municipales,2020,2,06/28/2020,5,37,10,29,47,1399,548,548,9,2,537,144,319,74
10-30,Municipales,2020,2,06/28/2020,5,37,10,30,32,1421,556,556,10,5,541,147,333,61
10-31,Municipales,2020,2,06/28/2020,5,37,10,31,25,1226,474,474,8,8,458,123,269,66
10-32,Municipales,2020,2,06/28/2020,5,37,10,32,37,1317,514,514,12,6,496,97,337,62
10-33,Municipales,2020,2,06/28/2020,5,38,10,33,28,1442,502,502,8,4,490,96,334,60
10-34,Municipales,2020,2,06/28/2020,5,38,10,34,25,1462,565,565,13,1,551,132,341,78
10-35,Municipales,2020,2,06/28/2020,5,38,10,35,35,1382,550,550,9,4,537,127,323,87
10-36,Municipales,2020,2,06/28/2020,5,38,10,36,50,1409,573,573,16,5,552,110,376,66
10-37,Municipales,2020,2,06/28/2020,5,38,10,37,31,1325,500,500,6,6,488,100,331,57
10-38,Municipales,2020,2,06/28/2020,5,38,10,38,49,1562,646,646,8,6,632,126,435,71
10-39,Municipales,2020,2,06/28/2020,5,38,10,39,84,1655,623,623,9,1,613,110,420,83
