ID_BVOTE,SCRUTIN,ANNEE,TOUR,DATE,NUM_CIRC,NUM_QUARTIER,NUM_ARROND,NUM_BUREAU,NB_PROCU,NB_INSCR,NB_EMARG,NB_VOTANT,NB_BLANC,NB_NUL,NB_EXPRIM,Mme Garnier Nelly,Mr VAUGLIN François,Mr POITOUX Guillaume
11-1,Municipales,2020,2,06/28/2020,7,43,11,1,38,1742,656,656,12,9,635,134,431,70
11-2,Municipales,2020,2,06/28/2020,7,43,11,2,45,1620,680,680,20,5,655,157,418,80
11-3,Municipales,2020,2,06/28/2020,7,43,11,3,38,1482,556,556,11,11,534,130,353,51
11-4,Municipales,2020,2,06/28/2020,7,43,11,4,48,1718,667,667,11,7,649,155,429,65
11-5,Municipales,2020,2,06/28/2020,7,43,11,5,28,1716,625,625,7,5,613,115,428,70
11-6,Municipales,2020,2,06/28/2020,7,99,11,6,57,1626,642,642,11,7,624,138,431,55
11-7,Municipales,2020,2,06/28/2020,7,99,11,7,55,1525,604,604,11,6,587,136,388,63
11-8,Municipales,2020,2,06/28/2020,7,44,11,8,37,1515,601,601,6,3,592,119,429,44
11-9,Municipales,2020,2,06/28/2020,7,43,11,9,58,1619,652,652,13,3,636,135,434,67
11-10,Municipales,2020,2,06/28/2020,7,43,11,10,33,1603,628,628,14,7,607,150,387,70
11-11,Municipales,2020,2,06/28/2020,7,99,11,11,38,1819,684,683,12,8,663,106,505,52
11-12,Municipales,2020,2,06/28/2020,7,43,11,12,27,1643,654,654,10,5,639,142,449,48
11-13,Municipales,2020,2,06/28/2020,7,43,11,13,39,1667,643,643,16,3,624,95,456,73
11-14,Municipales,2020,2,06/28/2020,7,43,11,14,54,1804,756,756,23,13,720,156,477,87
11-15,Municipales,2020,2,06/28/2020,7,99,11,15,50,1704,759,760,14,4,742,224,422,96
11-16,Municipales,2020,2,06/28/2020,7,42,11,16,36,1520,653,653,12,5,636,172,369,95
11-17,Municipales,2020,2,06/28/2020,7,42,11,17,62,1498,627,627,7,7,613,178,369,66
11-18,Municipales,2020,2,06/28/2020,7,42,11,18,44,1499,578,578,9,2,567,132,362,73
11-19,Municipales,2020,2,06/28/2020,7,42,11,19,36,1484,551,551,11,5,535,140,328,67
11-20,Municipales,2020,2,06/28/2020,7,99,11,20,44,1647,642,644,6,8,630,135,429,66
11-21,Municipales,2020,2,06/28/2020,7,41,11,21,53,1543,633,633,20,2,611,146,380,85
11-22,Municipales,2020,2,06/28/2020,7,41,11,22,22,1702,657,657,4,6,647,154,425,68
11-23,Municipales,2020,2,06/28/2020,7,41,11,23,82,1654,616,616,6,6,604,114,431,59
11-24,Municipales,2020,2,06/28/2020,7,99,11,24,58,1737,663,663,14,4,645,130,431,84
11-25,Municipales,2020,2,06/28/2020,7,42,11,25,40,1732,693,693,16,8,669,132,462,75
11-26,Municipales,2020,2,06/28/2020,7,42,11,26,30,1742,684,684,11,5,668,175,426,67
11-27,Municipales,2020,2,06/28/2020,6,41,11,27,34,1684,711,710,9,4,697,106,523,68
11-28,Municipales,2020,2,06/28/2020,6,41,11,28,33,1699,666,664,10,2,652,101,479,72
11-29,Municipales,2020,2,06/28/2020,6,41,11,29,39,1755,602,602,11,7,584,95,444,45
11-30,Municipales,2020,2,06/28/2020,6,41,11,30,33,1845,629,629,16,8,605,84,478,43
11-31,Municipales,2020,2,06/28/2020,6,41,11,31,32,1839,544,544,9,8,527,119,386,22
11-32,Municipales,2020,2,06/28/2020,6,41,11,32,46,1922,611,611,6,4,601,118,433,50
11-33,Municipales,2020,2,06/28/2020,6,99,11,33,30,1809,692,691,13,11,667,152,443,72
11-34,Municipales,2020,2,06/28/2020,6,99,11,34,83,1725,552,553,11,11,531,103,391,37
11-35,Municipales,2020,2,06/28/2020,6,42,11,35,48,1683,656,656,9,0,647,150,419,78
11-36,Municipales,2020,2,06/28/2020,6,42,11,36,41,1706,640,640,6,3,631,121,449,61
11-37,Municipales,2020,2,06/28/2020,6,42,11,37,38,1623,627,629,6,3,620,155,400,65
11-38,Municipales,2020,2,06/28/2020,6,42,11,38,61,1694,662,662,6,7,649,174,409,66
11-39,Municipales,2020,2,06/28/2020,6,43,11,39,34,1427,529,529,10,10,509,127,326,56
11-40,Municipales,2020,2,06/28/2020,6,99,11,40,22,1495,570,571,19,6,546,135,355,56
11-41,Municipales,2020,2,06/28/2020,6,43,11,41,25,1736,599,599,14,6,579,155,352,72
11-42,Municipales,2020,2,06/28/2020,6,43,11,42,17,1544,485,486,13,4,469,134,301,34
11-43,Municipales,2020,2,06/28/2020,6,43,11,43,63,1749,671,671,18,8,645,130,452,63
11-44,Municipales,2020,2,06/28/2020,6,44,11,44,42,1709,676,676,12,1,663,159,421,83
11-45,Municipales,2020,2,06/28/2020,6,99,11,45,27,1569,641,641,8,8,625,185,367,73
11-46,Municipales,2020,2,06/28/2020,6,99,11,46,16,1814,610,611,19,6,586,191,341,54
11-47,Municipales,2020,2,06/28/2020,6,44,11,47,37,1784,660,660,11,9,640,171,406,63
11-48,Municipales,2020,2,06/28/2020,6,44,11,48,33,1731,758,758,9,7,742,223,422,97
11-49,Municipales,2020,2,06/28/2020,6,44,11,49,53,1755,689,689,15,12,662,178,422,62
11-50,Municipales,2020,2,06/28/2020,6,44,11,50,40,1710,751,751,17,9,725,171,495,59
11-51,Municipales,2020,2,06/28/2020,6,44,11,51,37,1699,671,671,7,6,658,156,437,65
11-52,Municipales,2020,2,06/28/2020,6,44,11,52,46,1762,660,660,16,9,635,124,450,61
11-53,Municipales,2020,2,06/28/2020,6,44,11,53,52,1705,722,722,6,6,710,160,479,71
11-54,Municipales,2020,2,06/28/2020,6,44,11,54,35,1621,604,604,16,6,582,175,352,55
11-55,Municipales,2020,2,06/28/2020,6,44,11,55,32,1681,663,662,9,10,643,123,458,62
