ID_BVOTE,SCRUTIN,ANNEE,TOUR,DATE,NUM_CIRC,NUM_QUARTIER,NUM_ARROND,NUM_BUREAU,NB_PROCU,NB_INSCR,NB_EMARG,NB_VOTANT,NB_BLANC,NB_NUL,NB_EXPRIM,Mr PENG Chang Hua,Mr COUMET Jérôme,Mr OLIVIER Jean-Baptiste
13-1,Municipales,2020,2,06/28/2020,9,49,13,1,39,1691,682,682,17,5,660,71,423,166
13-2,Municipales,2020,2,06/28/2020,9,49,13,2,26,1431,514,514,10,4,500,40,328,132
13-3,Municipales,2020,2,06/28/2020,9,49,13,3,36,1625,598,598,14,11,573,39,398,136
13-4,Municipales,2020,2,06/28/2020,9,49,13,4,14,1193,371,371,14,9,348,28,214,106
13-5,Municipales,2020,2,06/28/2020,9,49,13,5,27,1540,562,564,9,7,548,47,369,132
13-6,Municipales,2020,2,06/28/2020,9,49,13,6,31,1229,451,451,7,4,440,44,289,107
13-7,Municipales,2020,2,06/28/2020,9,49,13,7,33,1637,520,520,16,10,494,55,324,115
13-8,Municipales,2020,2,06/28/2020,9,50,13,8,21,1458,526,526,13,5,508,43,346,119
13-9,Municipales,2020,2,06/28/2020,9,50,13,9,22,1310,439,439,14,9,416,25,287,104
13-10,Municipales,2020,2,06/28/2020,9,50,13,10,9,1268,433,433,8,5,420,22,256,142
13-11,Municipales,2020,2,06/28/2020,9,50,13,11,9,1486,483,483,16,13,454,44,273,137
13-12,Municipales,2020,2,06/28/2020,9,50,13,12,16,1420,437,437,9,5,423,31,262,130
13-13,Municipales,2020,2,06/28/2020,9,50,13,13,32,1642,647,647,19,9,619,65,439,115
13-14,Municipales,2020,2,06/28/2020,9,50,13,14,6,1435,467,467,7,13,447,38,271,138
13-15,Municipales,2020,2,06/28/2020,9,50,13,15,13,1722,463,463,6,7,450,50,284,116
13-16,Municipales,2020,2,06/28/2020,9,50,13,16,20,1933,606,606,19,6,581,42,393,146
13-17,Municipales,2020,2,06/28/2020,9,50,13,17,24,1654,561,561,10,6,545,64,351,130
13-18,Municipales,2020,2,06/28/2020,9,50,13,18,12,1519,481,481,10,7,464,28,302,134
13-19,Municipales,2020,2,06/28/2020,9,50,13,19,11,1813,474,474,5,8,461,59,267,135
13-20,Municipales,2020,2,06/28/2020,9,50,13,20,5,1873,453,453,4,9,440,51,237,152
13-21,Municipales,2020,2,06/28/2020,9,50,13,21,4,1615,369,369,9,5,355,29,186,140
13-22,Municipales,2020,2,06/28/2020,9,50,13,22,8,1605,415,415,11,9,395,14,264,117
13-23,Municipales,2020,2,06/28/2020,9,50,13,23,14,1473,501,501,6,5,490,48,315,127
13-24,Municipales,2020,2,06/28/2020,9,50,13,24,10,1447,422,422,12,8,402,31,263,108
13-25,Municipales,2020,2,06/28/2020,9,50,13,25,15,1752,494,494,5,6,483,47,294,142
13-26,Municipales,2020,2,06/28/2020,9,50,13,26,31,1695,631,631,14,7,610,38,402,170
13-27,Municipales,2020,2,06/28/2020,9,50,13,27,16,1758,612,612,17,10,585,46,419,120
13-28,Municipales,2020,2,06/28/2020,9,50,13,28,34,1748,677,677,19,4,654,69,427,158
13-29,Municipales,2020,2,06/28/2020,9,50,13,29,12,1336,381,381,16,12,353,33,234,86
13-30,Municipales,2020,2,06/28/2020,9,50,13,30,30,1674,605,605,17,12,576,44,378,154
13-31,Municipales,2020,2,06/28/2020,9,50,13,31,30,1342,542,542,12,9,521,65,306,150
13-32,Municipales,2020,2,06/28/2020,9,50,13,32,26,1668,503,503,25,9,469,38,324,107
13-33,Municipales,2020,2,06/28/2020,9,49,13,33,3,701,144,144,4,4,136,15,77,44
13-34,Municipales,2020,2,06/28/2020,9,50,13,34,18,1920,731,731,20,8,703,81,420,202
13-35,Municipales,2020,2,06/28/2020,10,51,13,35,17,1230,427,427,8,5,414,34,269,111
13-36,Municipales,2020,2,06/28/2020,10,51,13,36,28,1419,573,573,12,6,555,61,354,140
13-37,Municipales,2020,2,06/28/2020,10,51,13,37,31,1723,472,472,13,7,452,40,286,126
13-38,Municipales,2020,2,06/28/2020,10,51,13,38,11,1434,444,444,2,7,435,54,227,154
13-39,Municipales,2020,2,06/28/2020,10,51,13,39,10,1806,504,504,11,9,484,42,301,141
13-40,Municipales,2020,2,06/28/2020,10,51,13,40,17,1635,675,676,8,8,660,62,428,170
13-41,Municipales,2020,2,06/28/2020,10,51,13,41,33,1814,606,606,13,12,581,44,388,149
13-42,Municipales,2020,2,06/28/2020,10,51,13,42,1,1525,418,418,12,8,398,38,252,108
13-43,Municipales,2020,2,06/28/2020,10,51,13,43,48,1778,661,661,8,11,642,54,441,147
13-44,Municipales,2020,2,06/28/2020,10,51,13,44,15,1474,439,439,12,11,416,28,255,133
13-45,Municipales,2020,2,06/28/2020,10,51,13,45,22,1411,384,384,7,2,375,38,245,92
13-46,Municipales,2020,2,06/28/2020,10,51,13,46,21,1680,460,460,14,8,438,49,245,144
13-47,Municipales,2020,2,06/28/2020,10,51,13,47,29,1791,767,768,20,7,741,70,481,190
13-48,Municipales,2020,2,06/28/2020,10,51,13,48,20,1749,667,667,11,6,650,53,450,147
13-49,Municipales,2020,2,06/28/2020,10,51,13,49,26,1699,691,691,17,13,661,65,434,162
13-50,Municipales,2020,2,06/28/2020,10,51,13,50,47,1685,711,711,13,10,688,55,462,171
13-51,Municipales,2020,2,06/28/2020,10,51,13,51,24,1703,692,692,12,12,668,72,408,188
