ID_BVOTE,SCRUTIN,ANNEE,TOUR,DATE,NUM_CIRC,NUM_QUARTIER,NUM_ARROND,NUM_BUREAU,NB_PROCU,NB_INSCR,NB_EMARG,NB_VOTANT,NB_BLANC,NB_NUL,NB_EXPRIM,Mr VILLANI Cédric,Mme CARRERE-GEE Marie-Claire,Mr AZIERE Éric,PETIT Carine
14-1,Municipales,2020,2,06/28/2020,11,55,14,1,45,1366,568,568,4,0,564,88,147,33,296
14-2,Municipales,2020,2,06/28/2020,11,55,14,2,41,1496,620,620,3,3,614,81,176,44,313
14-3,Municipales,2020,2,06/28/2020,11,55,14,3,64,1616,757,757,7,2,748,116,223,60,349
14-4,Municipales,2020,2,06/28/2020,11,55,14,4,42,1528,631,631,7,7,617,95,168,48,306
14-5,Municipales,2020,2,06/28/2020,11,55,14,5,40,1408,613,613,3,2,608,78,180,51,299
14-6,Municipales,2020,2,06/28/2020,11,55,14,6,35,1476,687,687,4,4,679,90,187,54,348
14-7,Municipales,2020,2,06/28/2020,11,55,14,7,32,1476,619,621,4,2,615,79,172,54,310
14-8,Municipales,2020,2,06/28/2020,11,55,14,8,32,1488,655,655,5,8,642,92,196,65,289
14-9,Municipales,2020,2,06/28/2020,11,55,14,9,31,1516,646,646,9,2,635,113,170,56,296
14-10,Municipales,2020,2,06/28/2020,11,55,14,10,18,1439,519,519,5,9,505,48,184,42,231
14-11,Municipales,2020,2,06/28/2020,11,55,14,11,24,1398,590,590,4,10,576,65,185,69,257
14-12,Municipales,2020,2,06/28/2020,11,55,14,12,35,1570,649,649,13,5,631,91,209,56,275
14-13,Municipales,2020,2,06/28/2020,11,55,14,13,40,1554,664,664,4,10,650,83,184,52,331
14-14,Municipales,2020,2,06/28/2020,11,56,14,14,53,1578,752,752,4,3,745,109,280,95,261
14-15,Municipales,2020,2,06/28/2020,11,56,14,15,33,1577,639,640,7,4,629,92,182,50,305
14-16,Municipales,2020,2,06/28/2020,11,56,14,16,33,1541,575,575,7,7,561,68,174,52,267
14-17,Municipales,2020,2,06/28/2020,11,56,14,17,42,1504,684,684,5,8,671,114,157,72,328
14-18,Municipales,2020,2,06/28/2020,11,56,14,18,29,1582,627,627,7,4,616,90,142,41,343
14-19,Municipales,2020,2,06/28/2020,11,56,14,19,26,1658,564,564,9,7,548,63,132,47,306
14-20,Municipales,2020,2,06/28/2020,11,56,14,20,18,1413,517,517,11,8,498,57,172,38,231
14-21,Municipales,2020,2,06/28/2020,11,56,14,21,7,1415,443,443,9,14,420,39,134,28,219
14-22,Municipales,2020,2,06/28/2020,11,56,14,22,21,1555,523,523,6,5,512,64,151,26,271
14-23,Municipales,2020,2,06/28/2020,11,56,14,23,32,1553,623,623,13,6,604,77,155,37,335
14-24,Municipales,2020,2,06/28/2020,11,56,14,24,24,1616,683,683,7,6,670,87,156,57,370
14-25,Municipales,2020,2,06/28/2020,11,56,14,25,44,1561,657,657,5,1,651,74,149,72,356
14-26,Municipales,2020,2,06/28/2020,11,53,14,26,19,1305,561,561,9,0,552,85,192,64,211
14-27,Municipales,2020,2,06/28/2020,11,53,14,27,37,1107,448,450,1,4,445,61,184,51,149
14-28,Municipales,2020,2,06/28/2020,11,53,14,28,89,1564,689,690,7,8,675,112,239,76,248
14-29,Municipales,2020,2,06/28/2020,11,53,14,29,34,1626,640,640,9,3,628,85,155,49,339
14-30,Municipales,2020,2,06/28/2020,11,53,14,30,38,1416,629,629,6,2,621,80,197,65,279
14-31,Municipales,2020,2,06/28/2020,11,53,14,31,55,1399,629,629,7,3,619,97,196,74,252
14-32,Municipales,2020,2,06/28/2020,11,53,14,32,38,1422,589,590,5,63,522,77,180,62,203
14-33,Municipales,2020,2,06/28/2020,11,53,14,33,33,1573,641,641,5,2,634,85,201,53,295
14-34,Municipales,2020,2,06/28/2020,11,54,14,34,30,1377,592,592,9,4,579,92,163,63,261
14-35,Municipales,2020,2,06/28/2020,11,54,14,35,29,1495,659,659,9,2,648,90,207,67,284
14-36,Municipales,2020,2,06/28/2020,11,54,14,36,19,1321,435,435,1,2,432,46,148,41,197
14-37,Municipales,2020,2,06/28/2020,11,54,14,37,14,1491,594,594,12,4,578,85,171,44,278
14-38,Municipales,2020,2,06/28/2020,11,54,14,38,35,1321,573,573,3,5,565,76,145,46,298
14-39,Municipales,2020,2,06/28/2020,11,54,14,39,32,1461,565,566,3,1,562,67,193,49,253
14-40,Municipales,2020,2,06/28/2020,10,54,14,40,29,1596,620,620,5,0,615,76,185,44,310
14-41,Municipales,2020,2,06/28/2020,10,54,14,41,35,1701,623,623,6,4,613,86,164,66,297
14-42,Municipales,2020,2,06/28/2020,10,55,14,42,28,1766,685,685,8,6,671,83,178,44,366
14-43,Municipales,2020,2,06/28/2020,10,55,14,43,34,1492,638,638,5,2,631,79,188,47,317
14-44,Municipales,2020,2,06/28/2020,10,55,14,44,37,1513,534,534,9,2,523,54,166,43,260
14-45,Municipales,2020,2,06/28/2020,10,55,14,45,24,1560,452,452,4,7,441,34,155,30,222
14-46,Municipales,2020,2,06/28/2020,10,56,14,46,30,1377,591,591,6,3,582,79,156,42,305
14-47,Municipales,2020,2,06/28/2020,10,56,14,47,28,1423,506,506,10,11,485,63,178,40,204
14-48,Municipales,2020,2,06/28/2020,10,56,14,48,14,1511,526,526,12,7,507,63,137,38,269
14-49,Municipales,2020,2,06/28/2020,10,56,14,49,30,1587,678,678,7,7,664,76,193,44,351
14-50,Municipales,2020,2,06/28/2020,10,56,14,50,42,1532,607,607,5,8,594,61,191,49,293
14-51,Municipales,2020,2,06/28/2020,10,56,14,51,14,1422,507,507,7,4,496,63,179,31,223
14-52,Municipales,2020,2,06/28/2020,10,56,14,52,13,1524,461,462,6,2,454,53,154,28,219
14-53,Municipales,2020,2,06/28/2020,10,56,14,53,10,1471,431,431,6,5,420,57,141,25,197
14-54,Municipales,2020,2,06/28/2020,10,56,14,54,19,1565,583,583,2,4,577,78,203,55,241
14-55,Municipales,2020,2,06/28/2020,10,56,14,55,16,1676,581,581,9,9,563,80,176,49,258
14-56,Municipales,2020,2,06/28/2020,10,56,14,56,11,1451,414,414,13,7,394,48,139,24,183
14-57,Municipales,2020,2,06/28/2020,10,56,14,57,4,1539,370,370,11,7,352,44,98,26,184
