ID_BVOTE,SCRUTIN,ANNEE,TOUR,DATE,NUM_CIRC,NUM_QUARTIER,NUM_ARROND,NUM_BUREAU,NB_PROCU,NB_INSCR,NB_EMARG,NB_VOTANT,NB_BLANC,NB_NUL,NB_EXPRIM,Mme IBLED Catherine,Mme EVREN Agnès,Mme TORANIAN Anouch
15-1,Municipales,2020,2,06/28/2020,12,57,15,1,42,1213,471,471,7,0,464,47,234,183
15-2,Municipales,2020,2,06/28/2020,12,57,15,2,67,1409,611,612,6,3,603,54,342,207
15-3,Municipales,2020,2,06/28/2020,12,57,15,3,37,1332,517,516,8,3,505,56,231,218
15-4,Municipales,2020,2,06/28/2020,12,59,15,4,34,1629,603,603,10,4,589,57,304,228
15-5,Municipales,2020,2,06/28/2020,12,59,15,5,43,1639,556,556,8,3,545,67,293,185
15-6,Municipales,2020,2,06/28/2020,12,59,15,6,49,1603,601,601,8,5,588,67,297,224
15-7,Municipales,2020,2,06/28/2020,12,59,15,7,36,1560,565,565,5,4,556,66,295,195
15-8,Municipales,2020,2,06/28/2020,12,59,15,8,46,1401,657,656,6,5,645,91,309,245
15-9,Municipales,2020,2,06/28/2020,12,59,15,9,34,1492,596,595,7,10,578,77,321,180
15-10,Municipales,2020,2,06/28/2020,12,59,15,10,30,1514,528,528,10,4,514,74,279,161
15-11,Municipales,2020,2,06/28/2020,12,59,15,11,44,1587,628,628,9,7,612,73,378,161
15-12,Municipales,2020,2,06/28/2020,12,59,15,12,35,1722,705,705,6,5,694,107,343,244
15-13,Municipales,2020,2,06/28/2020,12,59,15,13,30,1639,661,661,2,6,653,64,353,236
15-14,Municipales,2020,2,06/28/2020,12,59,15,14,48,1696,703,703,7,3,693,98,427,168
15-15,Municipales,2020,2,06/28/2020,12,59,15,15,24,1559,578,578,11,7,560,58,365,137
15-16,Municipales,2020,2,06/28/2020,12,59,15,16,26,1692,740,740,8,8,724,80,468,176
15-17,Municipales,2020,2,06/28/2020,12,59,15,17,33,1552,551,551,5,4,542,47,351,144
15-18,Municipales,2020,2,06/28/2020,12,59,15,18,16,1396,549,549,4,6,539,58,351,130
15-19,Municipales,2020,2,06/28/2020,12,59,15,19,33,1401,605,605,8,7,590,60,378,152
15-20,Municipales,2020,2,06/28/2020,12,59,15,20,11,1499,608,608,3,8,597,64,396,137
15-21,Municipales,2020,2,06/28/2020,12,59,15,21,37,1361,580,580,5,2,573,83,353,137
15-22,Municipales,2020,2,06/28/2020,12,59,15,22,51,1450,574,574,6,2,566,68,358,140
15-23,Municipales,2020,2,06/28/2020,12,58,15,23,25,1521,674,674,10,9,655,90,396,169
15-24,Municipales,2020,2,06/28/2020,12,58,15,24,55,1556,602,602,9,3,590,70,391,129
15-25,Municipales,2020,2,06/28/2020,12,58,15,25,57,1580,688,688,5,2,681,95,363,223
15-26,Municipales,2020,2,06/28/2020,12,58,15,26,50,1570,601,601,8,4,589,66,306,217
15-27,Municipales,2020,2,06/28/2020,12,58,15,27,13,1463,500,500,10,9,481,36,256,189
15-28,Municipales,2020,2,06/28/2020,12,58,15,28,23,1498,590,590,9,6,575,71,296,208
15-29,Municipales,2020,2,06/28/2020,12,58,15,29,52,1510,663,662,6,7,649,61,339,249
15-30,Municipales,2020,2,06/28/2020,12,58,15,30,66,1531,655,655,6,7,642,87,339,216
15-31,Municipales,2020,2,06/28/2020,12,58,15,31,30,1570,652,652,5,10,637,75,372,190
15-32,Municipales,2020,2,06/28/2020,12,58,15,32,75,1503,658,658,12,3,643,85,322,236
15-33,Municipales,2020,2,06/28/2020,12,58,15,33,55,1515,631,631,4,5,622,73,344,205
15-34,Municipales,2020,2,06/28/2020,12,58,15,34,32,1651,669,669,7,12,650,72,360,218
15-35,Municipales,2020,2,06/28/2020,12,58,15,35,42,1653,617,620,4,15,601,72,246,283
15-36,Municipales,2020,2,06/28/2020,12,58,15,36,38,1585,611,611,11,3,597,66,282,249
15-37,Municipales,2020,2,06/28/2020,12,58,15,37,46,1577,633,635,9,3,623,93,309,221
15-38,Municipales,2020,2,06/28/2020,12,58,15,38,20,1512,561,561,14,6,541,53,293,195
15-39,Municipales,2020,2,06/28/2020,12,58,15,39,25,1554,501,501,10,10,481,33,268,180
15-40,Municipales,2020,2,06/28/2020,12,58,15,40,24,1479,544,544,12,6,526,62,285,179
15-41,Municipales,2020,2,06/28/2020,12,58,15,41,40,1599,620,620,11,6,603,50,301,252
15-42,Municipales,2020,2,06/28/2020,12,57,15,42,20,1085,405,405,8,2,395,44,219,132
15-43,Municipales,2020,2,06/28/2020,12,57,15,43,44,1319,584,584,6,5,573,71,327,175
15-44,Municipales,2020,2,06/28/2020,12,57,15,44,19,1561,591,591,11,6,574,57,273,244
15-45,Municipales,2020,2,06/28/2020,13,57,15,45,30,1576,586,586,12,5,569,50,283,236
15-46,Municipales,2020,2,06/28/2020,13,57,15,46,30,1464,597,598,12,7,579,58,293,228
15-47,Municipales,2020,2,06/28/2020,13,57,15,47,29,1616,598,598,16,7,575,58,225,292
15-48,Municipales,2020,2,06/28/2020,13,57,15,48,12,1523,429,429,9,4,416,26,237,153
15-49,Municipales,2020,2,06/28/2020,13,57,15,49,17,1587,502,502,3,5,494,36,256,202
15-50,Municipales,2020,2,06/28/2020,13,57,15,50,21,1471,493,493,8,6,479,40,233,206
15-51,Municipales,2020,2,06/28/2020,13,57,15,51,23,1593,593,593,13,9,571,62,267,242
15-52,Municipales,2020,2,06/28/2020,13,57,15,52,14,1528,457,457,9,8,440,26,248,166
15-53,Municipales,2020,2,06/28/2020,13,57,15,53,27,1570,519,519,10,5,504,59,233,212
15-54,Municipales,2020,2,06/28/2020,13,57,15,54,32,1524,614,614,11,5,598,73,293,232
15-55,Municipales,2020,2,06/28/2020,13,57,15,55,28,1501,586,586,7,5,574,65,271,238
15-56,Municipales,2020,2,06/28/2020,13,57,15,56,53,1702,725,725,22,6,697,87,320,290
15-57,Municipales,2020,2,06/28/2020,13,57,15,57,33,1477,607,607,8,4,595,75,309,211
15-58,Municipales,2020,2,06/28/2020,13,57,15,58,45,1495,586,586,12,6,568,71,259,238
15-59,Municipales,2020,2,06/28/2020,13,57,15,59,27,1525,591,591,6,11,574,66,312,196
15-60,Municipales,2020,2,06/28/2020,13,57,15,60,60,1602,707,707,11,10,686,84,374,228
15-61,Municipales,2020,2,06/28/2020,13,57,15,61,46,1495,589,589,8,4,577,57,287,233
15-62,Municipales,2020,2,06/28/2020,13,57,15,62,56,1547,630,630,5,4,621,69,324,228
15-63,Municipales,2020,2,06/28/2020,13,57,15,63,28,1389,578,577,8,2,567,57,285,225
15-64,Municipales,2020,2,06/28/2020,13,57,15,64,35,1407,552,552,6,3,543,59,326,158
15-65,Municipales,2020,2,06/28/2020,13,57,15,65,34,1385,536,536,7,5,524,53,295,176
15-66,Municipales,2020,2,06/28/2020,13,57,15,66,45,1537,602,602,10,7,585,69,336,180
15-67,Municipales,2020,2,06/28/2020,13,57,15,67,34,1596,545,544,8,7,529,53,259,217
15-68,Municipales,2020,2,06/28/2020,13,57,15,68,42,1636,694,694,9,5,680,85,336,259
15-69,Municipales,2020,2,06/28/2020,13,57,15,69,45,1665,553,553,5,7,541,37,272,232
15-70,Municipales,2020,2,06/28/2020,13,57,15,70,31,1671,658,659,5,6,648,63,326,259
15-71,Municipales,2020,2,06/28/2020,13,57,15,71,35,1640,597,597,8,10,579,57,311,211
15-72,Municipales,2020,2,06/28/2020,13,57,15,72,34,1499,514,514,10,12,492,49,240,203
15-73,Municipales,2020,2,06/28/2020,13,57,15,73,32,1379,521,522,6,2,514,67,280,167
15-74,Municipales,2020,2,06/28/2020,13,60,15,74,41,1573,598,599,7,4,588,69,337,182
15-75,Municipales,2020,2,06/28/2020,13,60,15,75,33,1389,549,549,9,11,529,77,294,158
15-76,Municipales,2020,2,06/28/2020,13,60,15,76,4,1185,360,362,9,4,349,19,153,177
15-77,Municipales,2020,2,06/28/2020,13,60,15,77,26,1513,573,573,11,5,557,54,286,217
15-78,Municipales,2020,2,06/28/2020,13,60,15,78,18,1086,406,406,14,3,389,55,201,133
15-79,Municipales,2020,2,06/28/2020,13,60,15,79,21,1251,510,510,12,7,491,75,239,177
15-80,Municipales,2020,2,06/28/2020,13,60,15,80,7,1510,554,554,15,9,530,62,269,199
15-81,Municipales,2020,2,06/28/2020,13,60,15,81,21,1499,575,576,8,7,561,54,296,211
15-82,Municipales,2020,2,06/28/2020,13,60,15,82,40,1480,496,495,15,10,470,48,264,158
15-83,Municipales,2020,2,06/28/2020,13,60,15,83,61,1558,635,635,7,5,623,86,357,180
15-84,Municipales,2020,2,06/28/2020,13,60,15,84,26,1447,555,555,5,6,544,81,293,170
15-85,Municipales,2020,2,06/28/2020,13,60,15,85,45,1655,636,636,14,9,613,65,294,254
15-86,Municipales,2020,2,06/28/2020,13,60,15,86,12,1287,487,487,6,7,474,46,278,150
15-87,Municipales,2020,2,06/28/2020,13,60,15,87,32,1478,527,527,9,7,511,58,257,196
15-88,Municipales,2020,2,06/28/2020,13,60,15,88,31,1506,559,559,5,3,551,75,309,167
15-89,Municipales,2020,2,06/28/2020,13,60,15,89,35,1447,547,547,7,10,530,62,300,168
15-90,Municipales,2020,2,06/28/2020,13,60,15,90,31,1356,528,528,8,2,518,65,277,176
15-91,Municipales,2020,2,06/28/2020,13,60,15,91,36,1571,649,649,9,3,637,102,324,211
15-92,Municipales,2020,2,06/28/2020,13,60,15,92,14,1462,572,572,6,4,562,52,323,187
15-93,Municipales,2020,2,06/28/2020,13,60,15,93,27,1525,617,617,12,7,598,66,309,223
15-94,Municipales,2020,2,06/28/2020,13,60,15,94,30,1532,488,489,11,5,473,44,251,178
15-95,Municipales,2020,2,06/28/2020,13,60,15,95,35,1400,466,466,10,5,451,42,247,162
