ID_BVOTE,SCRUTIN,ANNEE,TOUR,DATE,NUM_CIRC,NUM_QUARTIER,NUM_ARROND,NUM_BUREAU,NB_PROCU,NB_INSCR,NB_EMARG,NB_VOTANT,NB_BLANC,NB_NUL,NB_EXPRIM,Mr SZPINER Francis,Mme SEBBAH Hanna
16-1,Municipales,2020,2,06/28/2020,14,62,16,1,24,1468,464,465,17,5,443,365,78
16-2,Municipales,2020,2,06/28/2020,14,62,16,2,40,1557,545,545,11,9,525,428,97
16-3,Municipales,2020,2,06/28/2020,14,62,16,3,26,1513,441,441,8,3,430,360,70
16-4,Municipales,2020,2,06/28/2020,14,62,16,4,50,1610,500,504,4,4,496,392,104
16-5,Municipales,2020,2,06/28/2020,14,62,16,5,31,1286,404,404,10,5,389,292,97
16-6,Municipales,2020,2,06/28/2020,14,62,16,6,61,1287,501,501,13,5,483,356,127
16-7,Municipales,2020,2,06/28/2020,14,62,16,7,30,1375,417,417,18,4,395,306,89
16-8,Municipales,2020,2,06/28/2020,14,62,16,8,26,1277,446,445,7,13,425,345,80
16-9,Municipales,2020,2,06/28/2020,14,62,16,9,35,1221,425,425,11,4,410,324,86
16-10,Municipales,2020,2,06/28/2020,14,62,16,10,27,1397,454,454,11,4,439,319,120
16-11,Municipales,2020,2,06/28/2020,14,62,16,11,59,1249,426,426,14,4,408,307,101
16-12,Municipales,2020,2,06/28/2020,14,62,16,12,21,1285,405,405,16,0,389,303,86
16-13,Municipales,2020,2,06/28/2020,14,62,16,13,29,1411,507,507,15,9,483,367,116
16-14,Municipales,2020,2,06/28/2020,14,62,16,14,39,1309,459,459,11,4,444,348,96
16-15,Municipales,2020,2,06/28/2020,14,62,16,15,33,1252,436,436,18,8,410,316,94
16-16,Municipales,2020,2,06/28/2020,14,62,16,16,33,1331,475,475,13,7,455,333,122
16-17,Municipales,2020,2,06/28/2020,14,62,16,17,28,1416,561,561,18,3,540,406,134
16-18,Municipales,2020,2,06/28/2020,14,62,16,18,26,1412,483,482,14,16,452,339,113
16-19,Municipales,2020,2,06/28/2020,14,62,16,19,34,1325,436,436,22,8,406,307,99
16-20,Municipales,2020,2,06/28/2020,14,62,16,20,44,1523,523,523,16,5,502,391,111
16-21,Municipales,2020,2,06/28/2020,14,61,16,21,27,1469,519,519,20,10,489,370,119
16-22,Municipales,2020,2,06/28/2020,14,61,16,22,39,1632,601,601,28,3,570,449,121
16-23,Municipales,2020,2,06/28/2020,14,61,16,23,37,1409,516,516,18,4,494,414,80
16-24,Municipales,2020,2,06/28/2020,14,61,16,24,19,1429,437,437,18,2,417,340,77
16-25,Municipales,2020,2,06/28/2020,14,61,16,25,22,1444,458,458,16,14,428,326,102
16-26,Municipales,2020,2,06/28/2020,14,61,16,26,25,1474,488,488,13,6,469,346,123
16-27,Municipales,2020,2,06/28/2020,14,61,16,27,38,1304,452,452,10,6,436,329,107
16-28,Municipales,2020,2,06/28/2020,14,61,16,28,28,1284,440,441,13,10,418,303,115
16-29,Municipales,2020,2,06/28/2020,14,61,16,29,37,1299,459,458,19,8,431,322,109
16-30,Municipales,2020,2,06/28/2020,14,61,16,30,36,1381,489,489,18,6,465,345,120
16-31,Municipales,2020,2,06/28/2020,14,61,16,31,38,1364,490,490,17,7,466,350,116
16-32,Municipales,2020,2,06/28/2020,14,61,16,32,31,1503,482,483,21,10,452,309,143
16-33,Municipales,2020,2,06/28/2020,14,61,16,33,39,1521,527,527,24,3,500,351,149
16-34,Municipales,2020,2,06/28/2020,14,61,16,34,52,1647,544,544,10,4,530,390,140
16-35,Municipales,2020,2,06/28/2020,14,61,16,35,56,1206,455,456,7,7,442,323,119
16-36,Municipales,2020,2,06/28/2020,14,61,16,36,17,1481,409,409,25,8,376,279,97
16-37,Municipales,2020,2,06/28/2020,14,61,16,37,29,1410,483,482,24,8,450,322,128
16-38,Municipales,2020,2,06/28/2020,14,61,16,38,41,1582,533,532,20,7,505,354,151
