ID_BVOTE,SCRUTIN,ANNEE,TOUR,DATE,NUM_CIRC,NUM_QUARTIER,NUM_ARROND,NUM_BUREAU,NB_PROCU,NB_INSCR,NB_EMARG,NB_VOTANT,NB_BLANC,NB_NUL,NB_EXPRIM,LEJOINDRE Eric,BOURNAZEL Pierre-Yves,Mr GRANIER Rudolph
18-1,Municipales,2020,2,06/28/2020,18,70,18,1,36,1571,604,603,6,7,590,359,109,122
18-2,Municipales,2020,2,06/28/2020,18,70,18,2,27,1547,560,560,16,2,542,309,128,105
18-3,Municipales,2020,2,06/28/2020,18,70,18,3,33,1520,588,588,13,3,572,258,139,175
18-4,Municipales,2020,2,06/28/2020,18,70,18,4,32,1833,671,671,23,9,639,372,114,153
18-5,Municipales,2020,2,06/28/2020,18,70,18,5,21,1251,523,523,11,4,508,293,120,95
18-6,Municipales,2020,2,06/28/2020,18,70,18,6,36,1486,570,570,8,7,555,356,98,101
18-7,Municipales,2020,2,06/28/2020,18,70,18,7,28,1432,525,525,7,7,511,361,76,74
18-8,Municipales,2020,2,06/28/2020,18,70,18,8,21,1451,519,519,7,7,505,321,78,106
18-9,Municipales,2020,2,06/28/2020,18,70,18,9,34,1622,587,587,12,6,569,386,82,101
18-10,Municipales,2020,2,06/28/2020,18,70,18,10,41,1674,593,592,16,9,567,399,94,74
18-11,Municipales,2020,2,06/28/2020,18,70,18,11,23,1601,597,597,13,7,577,371,89,117
18-12,Municipales,2020,2,06/28/2020,18,70,18,12,15,1647,439,439,9,7,423,245,86,92
18-13,Municipales,2020,2,06/28/2020,18,70,18,13,12,1149,287,287,6,6,275,161,41,73
18-14,Municipales,2020,2,06/28/2020,18,70,18,14,29,1900,567,567,11,8,548,368,93,87
18-15,Municipales,2020,2,06/28/2020,18,70,18,15,18,1495,514,514,5,5,504,356,63,85
18-16,Municipales,2020,2,06/28/2020,18,70,18,16,43,1614,567,567,8,7,552,349,99,104
18-17,Municipales,2020,2,06/28/2020,18,70,18,17,43,1838,644,644,18,16,610,433,84,93
18-18,Municipales,2020,2,06/28/2020,18,70,18,18,41,1845,710,710,18,2,690,510,79,101
18-19,Municipales,2020,2,06/28/2020,18,70,18,19,42,1799,687,687,24,2,661,462,97,102
18-20,Municipales,2020,2,06/28/2020,18,70,18,20,48,1701,624,624,15,7,602,419,78,105
18-21,Municipales,2020,2,06/28/2020,18,70,18,21,40,1656,622,623,13,16,594,392,88,114
18-22,Municipales,2020,2,06/28/2020,18,70,18,22,19,1496,495,495,4,6,485,300,82,103
18-23,Municipales,2020,2,06/28/2020,18,70,18,23,28,1498,516,516,13,4,499,297,102,100
18-24,Municipales,2020,2,06/28/2020,18,70,18,24,29,1534,564,564,12,2,550,329,106,115
18-25,Municipales,2020,2,06/28/2020,18,69,18,25,57,1492,627,626,8,2,616,296,145,175
18-26,Municipales,2020,2,06/28/2020,18,69,18,26,23,1454,515,515,11,5,499,302,106,91
18-27,Municipales,2020,2,06/28/2020,18,69,18,27,25,1432,492,492,12,4,476,312,91,73
18-28,Municipales,2020,2,06/28/2020,18,69,18,28,38,1761,679,680,23,8,649,377,123,149
18-29,Municipales,2020,2,06/28/2020,18,69,18,29,41,1620,614,615,11,6,598,338,129,131
18-30,Municipales,2020,2,06/28/2020,18,69,18,30,29,1767,693,693,10,5,678,379,139,160
18-31,Municipales,2020,2,06/28/2020,18,69,18,31,26,1813,694,694,8,2,684,440,94,150
18-32,Municipales,2020,2,06/28/2020,18,69,18,32,28,1646,605,605,10,1,594,324,127,143
18-33,Municipales,2020,2,06/28/2020,18,69,18,33,11,1643,558,558,6,12,540,279,145,116
18-34,Municipales,2020,2,06/28/2020,18,69,18,34,27,1789,603,603,15,7,581,317,116,148
18-35,Municipales,2020,2,06/28/2020,18,69,18,35,32,1531,570,570,6,5,559,278,134,147
18-36,Municipales,2020,2,06/28/2020,18,69,18,36,34,1549,575,575,10,4,561,323,107,131
18-37,Municipales,2020,2,06/28/2020,18,69,18,37,30,1576,554,554,9,3,542,291,119,132
18-38,Municipales,2020,2,06/28/2020,3,69,18,38,37,1587,577,577,12,6,559,322,129,108
18-39,Municipales,2020,2,06/28/2020,3,69,18,39,21,1740,590,590,13,9,568,310,104,154
18-40,Municipales,2020,2,06/28/2020,3,69,18,40,38,1630,626,626,13,10,603,319,137,147
18-41,Municipales,2020,2,06/28/2020,3,69,18,41,19,1666,528,528,16,8,504,312,95,97
18-42,Municipales,2020,2,06/28/2020,3,69,18,42,16,1685,507,507,10,9,488,277,79,132
18-43,Municipales,2020,2,06/28/2020,3,69,18,43,12,1702,523,523,15,10,498,261,85,152
18-44,Municipales,2020,2,06/28/2020,3,69,18,44,9,1335,265,264,10,1,253,128,46,79
18-45,Municipales,2020,2,06/28/2020,3,69,18,45,15,1580,443,442,13,5,424,257,68,99
18-46,Municipales,2020,2,06/28/2020,3,69,18,46,17,1450,526,526,11,4,511,267,107,137
18-47,Municipales,2020,2,06/28/2020,3,69,18,47,35,1281,498,498,11,3,484,329,73,82
18-48,Municipales,2020,2,06/28/2020,3,69,18,48,29,1296,431,431,10,11,410,285,49,76
18-49,Municipales,2020,2,06/28/2020,18,69,18,49,2,1109,259,261,7,8,246,128,56,62
18-50,Municipales,2020,2,06/28/2020,18,69,18,50,3,1137,259,259,8,11,240,125,36,79
18-51,Municipales,2020,2,06/28/2020,17,71,18,51,11,1708,372,372,5,7,360,206,38,116
18-52,Municipales,2020,2,06/28/2020,17,71,18,52,43,1797,635,635,11,7,617,419,76,122
18-53,Municipales,2020,2,06/28/2020,17,71,18,53,27,1380,469,469,10,6,453,290,64,99
18-54,Municipales,2020,2,06/28/2020,17,71,18,54,36,1299,428,428,15,6,407,286,35,86
18-55,Municipales,2020,2,06/28/2020,17,71,18,55,30,1574,516,516,10,4,502,397,38,67
18-56,Municipales,2020,2,06/28/2020,17,71,18,56,12,1866,382,382,4,5,373,254,38,81
18-57,Municipales,2020,2,06/28/2020,17,71,18,57,34,1804,581,581,7,5,569,427,66,76
18-58,Municipales,2020,2,06/28/2020,17,71,18,58,27,1706,530,530,11,8,511,369,61,81
18-59,Municipales,2020,2,06/28/2020,17,72,18,59,14,1720,522,522,15,2,505,352,55,98
18-60,Municipales,2020,2,06/28/2020,17,72,18,60,35,1680,644,644,16,9,619,445,60,114
18-61,Municipales,2020,2,06/28/2020,17,72,18,61,37,1767,614,614,14,6,594,426,75,93
18-62,Municipales,2020,2,06/28/2020,17,72,18,62,18,1669,546,548,11,9,528,368,58,102
18-63,Municipales,2020,2,06/28/2020,17,72,18,63,17,1785,489,489,8,12,469,293,40,136
18-64,Municipales,2020,2,06/28/2020,17,72,18,64,10,1743,410,410,8,7,395,203,51,141
18-65,Municipales,2020,2,06/28/2020,17,72,18,65,0,1843,415,415,12,7,396,190,47,159
18-66,Municipales,2020,2,06/28/2020,18,70,18,66,21,1381,559,559,11,5,543,339,106,98
18-67,Municipales,2020,2,06/28/2020,3,69,18,67,26,1399,481,481,9,7,465,314,52,99
18-68,Municipales,2020,2,06/28/2020,17,71,18,68,32,1341,449,449,11,5,433,306,54,73
