ID_BVOTE,SCRUTIN,ANNEE,TOUR,DATE,NUM_CIRC,NUM_QUARTIER,NUM_ARROND,NUM_BUREAU,NB_PROCU,NB_INSCR,NB_EMARG,NB_VOTANT,NB_BLANC,NB_NUL,NB_EXPRIM,Mr ROUXEL Olivier,DAGNAUD François,Mme TOUBIANA Marie
19-1,Municipales,2020,2,06/28/2020,16,76,19,1,22,1573,510,510,7,2,501,38,343,120
19-2,Municipales,2020,2,06/28/2020,16,76,19,2,31,1499,460,460,7,5,448,29,344,75
19-3,Municipales,2020,2,06/28/2020,16,76,19,3,13,1110,367,367,6,3,358,37,221,100
19-4,Municipales,2020,2,06/28/2020,16,76,19,4,23,1316,468,468,6,5,457,49,323,85
19-5,Municipales,2020,2,06/28/2020,16,76,19,5,43,1339,483,483,4,2,477,68,295,114
19-6,Municipales,2020,2,06/28/2020,16,76,19,6,38,1369,497,496,7,7,482,57,316,109
19-7,Municipales,2020,2,06/28/2020,17,76,19,7,8,1376,508,508,10,10,488,47,290,151
19-8,Municipales,2020,2,06/28/2020,17,76,19,8,16,1341,381,381,11,9,361,32,230,99
19-9,Municipales,2020,2,06/28/2020,16,76,19,9,18,1733,617,617,12,5,600,60,411,129
19-10,Municipales,2020,2,06/28/2020,16,76,19,10,33,1627,644,644,11,6,627,44,473,110
19-11,Municipales,2020,2,06/28/2020,16,76,19,11,23,1612,609,609,10,3,596,47,444,105
19-12,Municipales,2020,2,06/28/2020,16,76,19,12,28,1638,674,674,8,1,665,41,525,99
19-13,Municipales,2020,2,06/28/2020,16,76,19,13,68,1698,628,628,11,5,612,42,470,100
19-14,Municipales,2020,2,06/28/2020,16,76,19,14,50,1723,579,579,7,0,572,38,462,72
19-15,Municipales,2020,2,06/28/2020,16,76,19,15,26,1460,582,582,14,2,566,51,428,87
19-16,Municipales,2020,2,06/28/2020,16,76,19,16,41,1678,652,652,2,10,640,56,468,116
19-17,Municipales,2020,2,06/28/2020,16,76,19,17,40,1491,576,576,4,2,570,60,365,145
19-18,Municipales,2020,2,06/28/2020,16,75,19,18,9,785,202,202,4,9,189,13,125,51
19-19,Municipales,2020,2,06/28/2020,16,75,19,19,15,1254,246,246,7,9,230,25,142,63
19-20,Municipales,2020,2,06/28/2020,16,75,19,20,10,1485,369,369,14,6,349,31,193,125
19-21,Municipales,2020,2,06/28/2020,16,75,19,21,30,1624,510,510,7,2,501,38,370,93
19-22,Municipales,2020,2,06/28/2020,16,75,19,22,3,1482,306,306,5,9,292,32,179,81
19-23,Municipales,2020,2,06/28/2020,16,75,19,23,8,1569,449,449,8,4,437,41,302,94
19-24,Municipales,2020,2,06/28/2020,16,75,19,24,12,1509,448,448,10,9,429,50,241,138
19-25,Municipales,2020,2,06/28/2020,16,75,19,25,33,1571,535,535,6,6,523,38,374,111
19-26,Municipales,2020,2,06/28/2020,16,75,19,26,26,1458,479,479,5,12,462,39,313,110
19-27,Municipales,2020,2,06/28/2020,16,75,19,27,23,1784,554,554,10,6,538,33,367,138
19-28,Municipales,2020,2,06/28/2020,16,75,19,28,44,1663,622,622,6,7,609,78,391,140
19-29,Municipales,2020,2,06/28/2020,16,75,19,29,18,1444,457,457,13,2,442,50,292,100
19-30,Municipales,2020,2,06/28/2020,16,75,19,30,28,1571,632,632,11,4,617,60,403,154
19-31,Municipales,2020,2,06/28/2020,16,75,19,31,19,1510,566,566,15,5,546,44,400,102
19-32,Municipales,2020,2,06/28/2020,16,75,19,32,37,1508,658,658,10,5,643,60,487,96
19-33,Municipales,2020,2,06/28/2020,16,75,19,33,15,1412,383,383,9,6,368,36,243,89
19-34,Municipales,2020,2,06/28/2020,16,75,19,34,24,1313,471,471,12,1,458,44,301,113
19-35,Municipales,2020,2,06/28/2020,16,75,19,35,10,1114,281,281,4,9,268,30,174,64
19-36,Municipales,2020,2,06/28/2020,16,75,19,36,14,1358,439,439,10,12,417,40,271,106
19-37,Municipales,2020,2,06/28/2020,16,75,19,37,10,1387,359,359,8,7,344,19,229,96
19-38,Municipales,2020,2,06/28/2020,16,75,19,38,21,1407,443,443,12,5,426,34,304,88
19-39,Municipales,2020,2,06/28/2020,16,75,19,39,17,1453,493,493,11,5,477,35,336,106
19-40,Municipales,2020,2,06/28/2020,16,75,19,40,14,1407,383,383,10,7,366,33,231,102
19-41,Municipales,2020,2,06/28/2020,16,74,19,41,14,1487,377,377,14,6,357,37,209,111
19-42,Municipales,2020,2,06/28/2020,16,74,19,42,3,1209,248,248,2,4,242,22,164,56
19-43,Municipales,2020,2,06/28/2020,16,74,19,43,5,1398,271,271,4,1,266,30,151,85
19-44,Municipales,2020,2,06/28/2020,16,74,19,44,7,1534,342,342,17,5,320,30,179,111
19-45,Municipales,2020,2,06/28/2020,16,74,19,45,22,1570,457,457,9,13,435,34,294,107
19-46,Municipales,2020,2,06/28/2020,16,74,19,46,15,1847,561,561,13,4,544,51,363,130
19-47,Municipales,2020,2,06/28/2020,16,74,19,47,37,1875,624,624,11,3,610,65,393,152
19-48,Municipales,2020,2,06/28/2020,16,74,19,48,26,1876,620,620,8,8,604,42,440,122
19-49,Municipales,2020,2,06/28/2020,16,74,19,49,10,1648,498,498,5,8,485,39,336,110
19-50,Municipales,2020,2,06/28/2020,16,74,19,50,16,1099,351,351,4,6,341,46,235,60
19-51,Municipales,2020,2,06/28/2020,17,73,19,51,15,1582,372,372,11,6,355,39,198,118
19-52,Municipales,2020,2,06/28/2020,17,73,19,52,13,1550,450,450,11,7,432,46,282,104
19-53,Municipales,2020,2,06/28/2020,17,73,19,53,16,1493,399,399,11,3,385,45,228,112
19-54,Municipales,2020,2,06/28/2020,17,73,19,54,29,1569,507,507,1,3,503,55,358,90
19-55,Municipales,2020,2,06/28/2020,17,73,19,55,9,1500,338,338,8,5,325,34,204,87
19-56,Municipales,2020,2,06/28/2020,17,73,19,56,13,1412,418,418,12,5,401,29,255,117
19-57,Municipales,2020,2,06/28/2020,17,73,19,57,4,1363,300,300,7,2,291,25,163,103
19-58,Municipales,2020,2,06/28/2020,17,73,19,58,34,1611,602,602,13,6,583,51,417,115
19-59,Municipales,2020,2,06/28/2020,17,73,19,59,29,1584,549,549,13,6,530,53,354,123
19-60,Municipales,2020,2,06/28/2020,17,73,19,60,22,1622,523,523,10,5,508,38,376,94
19-61,Municipales,2020,2,06/28/2020,17,73,19,61,29,1514,488,488,10,3,475,30,346,99
19-62,Municipales,2020,2,06/28/2020,17,73,19,62,18,1623,483,483,11,5,467,31,331,105
19-63,Municipales,2020,2,06/28/2020,17,73,19,63,33,1483,446,446,5,6,435,50,277,108
19-64,Municipales,2020,2,06/28/2020,17,73,19,64,27,1607,517,517,3,4,510,38,351,121
19-65,Municipales,2020,2,06/28/2020,17,73,19,65,28,1517,501,501,8,9,484,47,310,127
19-66,Municipales,2020,2,06/28/2020,17,73,19,66,14,1596,550,550,5,6,539,44,372,123
19-67,Municipales,2020,2,06/28/2020,17,73,19,67,22,1668,469,469,11,8,450,38,332,80
