ID_BVOTE,SCRUTIN,ANNEE,TOUR,DATE,NUM_CIRC,NUM_QUARTIER,NUM_ARROND,NUM_BUREAU,NB_PROCU,NB_INSCR,NB_EMARG,NB_VOTANT,NB_BLANC,NB_NUL,NB_EXPRIM,Mr PLIEZ Eric,Mr DIDIER François-Marie,Mme SIMONNET Danielle,Mme CALANDRA Frédérique
20-1,Municipales,2020,2,06/28/2020,15,79,20,1,35,1339,537,537,6,6,525,298,129,62,36
20-2,Municipales,2020,2,06/28/2020,15,79,20,2,32,1137,477,477,6,1,470,257,123,43,47
20-3,Municipales,2020,2,06/28/2020,15,79,20,3,21,1477,557,557,6,8,543,334,107,53,49
20-4,Municipales,2020,2,06/28/2020,15,79,20,4,28,1432,576,576,17,2,557,324,106,67,60
20-5,Municipales,2020,2,06/28/2020,15,79,20,5,37,1387,625,624,12,3,609,367,133,39,70
20-6,Municipales,2020,2,06/28/2020,15,79,20,6,22,1411,575,575,12,3,560,290,135,85,50
20-7,Municipales,2020,2,06/28/2020,15,79,20,7,34,1328,539,539,5,7,527,301,109,69,48
20-8,Municipales,2020,2,06/28/2020,15,79,20,8,25,1301,525,525,10,3,512,324,73,48,67
20-9,Municipales,2020,2,06/28/2020,15,77,20,9,38,1600,528,528,8,4,516,322,102,58,34
20-10,Municipales,2020,2,06/28/2020,15,77,20,10,14,1382,381,381,6,1,374,230,72,51,21
20-11,Municipales,2020,2,06/28/2020,15,77,20,11,26,1640,528,528,7,3,518,314,99,64,41
20-12,Municipales,2020,2,06/28/2020,15,77,20,12,39,1345,561,561,7,3,551,371,71,70,39
20-13,Municipales,2020,2,06/28/2020,15,77,20,13,28,1501,596,596,12,6,578,399,65,80,34
20-14,Municipales,2020,2,06/28/2020,15,77,20,14,36,1567,654,654,5,6,643,434,79,79,51
20-15,Municipales,2020,2,06/28/2020,15,78,20,15,25,1487,576,576,3,5,568,318,119,75,56
20-16,Municipales,2020,2,06/28/2020,15,78,20,16,37,1590,699,699,15,6,678,361,187,68,62
20-17,Municipales,2020,2,06/28/2020,15,78,20,17,20,1513,504,504,12,5,487,260,109,70,48
20-18,Municipales,2020,2,06/28/2020,15,78,20,18,17,1437,427,427,12,6,409,186,113,60,50
20-19,Municipales,2020,2,06/28/2020,15,78,20,19,28,1491,623,624,13,9,602,311,159,70,62
20-20,Municipales,2020,2,06/28/2020,15,78,20,20,12,1611,486,486,11,4,471,251,119,65,36
20-21,Municipales,2020,2,06/28/2020,15,78,20,21,5,1594,413,413,9,5,399,169,130,53,47
20-22,Municipales,2020,2,06/28/2020,15,78,20,22,19,1565,540,540,13,3,524,274,145,63,42
20-23,Municipales,2020,2,06/28/2020,15,78,20,23,29,1605,609,609,11,2,596,277,185,59,75
20-24,Municipales,2020,2,06/28/2020,15,78,20,24,28,1435,573,573,12,7,554,301,136,57,60
20-25,Municipales,2020,2,06/28/2020,15,78,20,25,26,1557,647,647,13,5,629,430,90,59,50
20-26,Municipales,2020,2,06/28/2020,15,78,20,26,25,1405,472,472,10,5,457,263,94,62,38
20-27,Municipales,2020,2,06/28/2020,15,78,20,27,23,1347,507,507,4,3,500,269,145,42,44
20-28,Municipales,2020,2,06/28/2020,15,78,20,28,19,1472,492,492,7,5,480,237,152,45,46
20-29,Municipales,2020,2,06/28/2020,15,78,20,29,48,1511,526,526,11,7,508,271,126,49,62
20-30,Municipales,2020,2,06/28/2020,15,78,20,30,5,1770,349,349,3,13,333,156,88,58,31
20-31,Municipales,2020,2,06/28/2020,15,78,20,31,23,1607,494,494,11,6,477,252,141,42,42
20-32,Municipales,2020,2,06/28/2020,15,78,20,32,20,1571,528,529,8,6,515,261,166,48,40
20-33,Municipales,2020,2,06/28/2020,15,80,20,33,3,1443,317,317,6,9,302,129,114,29,30
20-34,Municipales,2020,2,06/28/2020,15,80,20,34,15,1448,394,394,7,4,383,181,113,54,35
20-35,Municipales,2020,2,06/28/2020,15,80,20,35,5,1424,363,363,3,4,356,155,93,65,43
20-36,Municipales,2020,2,06/28/2020,15,80,20,36,4,1250,328,328,8,2,318,137,91,61,29
20-37,Municipales,2020,2,06/28/2020,15,80,20,37,20,1579,424,424,6,5,413,229,80,64,40
20-38,Municipales,2020,2,06/28/2020,15,80,20,38,20,1448,430,430,5,3,422,237,99,53,33
20-39,Municipales,2020,2,06/28/2020,15,80,20,39,15,1438,401,401,5,13,383,172,115,61,35
20-40,Municipales,2020,2,06/28/2020,15,80,20,40,9,1473,453,453,7,7,439,199,128,60,52
20-41,Municipales,2020,2,06/28/2020,15,80,20,41,13,1550,449,449,10,6,433,225,124,45,39
20-42,Municipales,2020,2,06/28/2020,15,80,20,42,32,1519,576,576,12,10,554,321,106,72,55
20-43,Municipales,2020,2,06/28/2020,15,80,20,43,41,1814,713,713,7,11,695,424,123,80,68
20-44,Municipales,2020,2,06/28/2020,15,80,20,44,45,1906,707,707,6,4,697,442,117,71,67
20-45,Municipales,2020,2,06/28/2020,15,80,20,45,30,1839,697,697,8,1,688,398,122,95,73
20-46,Municipales,2020,2,06/28/2020,15,80,20,46,29,1634,625,625,4,7,614,341,123,71,79
20-47,Municipales,2020,2,06/28/2020,15,80,20,47,26,1627,606,606,11,9,586,363,105,61,57
20-48,Municipales,2020,2,06/28/2020,15,80,20,48,36,1760,671,671,7,2,662,423,124,58,57
20-49,Municipales,2020,2,06/28/2020,15,80,20,49,40,1889,757,757,17,5,735,474,129,60,72
20-50,Municipales,2020,2,06/28/2020,15,80,20,50,39,1699,724,724,13,5,706,430,157,47,72
20-51,Municipales,2020,2,06/28/2020,15,80,20,51,27,1765,653,653,12,4,637,374,146,40,77
20-52,Municipales,2020,2,06/28/2020,8,80,20,52,26,1355,542,542,8,6,528,268,146,67,47
20-53,Municipales,2020,2,06/28/2020,8,80,20,53,21,1407,590,590,17,3,570,273,165,60,72
20-54,Municipales,2020,2,06/28/2020,8,80,20,54,10,1548,374,374,5,4,365,171,94,70,30
20-55,Municipales,2020,2,06/28/2020,8,80,20,55,5,1454,357,355,6,9,340,146,103,47,44
20-56,Municipales,2020,2,06/28/2020,8,80,20,56,15,1357,393,393,3,6,384,168,126,42,48
20-57,Municipales,2020,2,06/28/2020,8,80,20,57,33,1384,517,517,11,3,503,248,151,50,54
20-58,Municipales,2020,2,06/28/2020,6,79,20,58,36,1697,670,670,14,4,652,416,106,67,63
20-59,Municipales,2020,2,06/28/2020,6,79,20,59,50,1730,644,644,5,2,637,374,110,93,60
20-60,Municipales,2020,2,06/28/2020,6,79,20,60,26,1346,544,544,7,9,528,295,118,56,59
20-61,Municipales,2020,2,06/28/2020,6,79,20,61,43,1494,518,518,10,9,499,298,71,81,49
20-62,Municipales,2020,2,06/28/2020,6,79,20,62,21,1535,464,464,5,3,456,265,84,78,29
